Sun Nov 04 16:47:32 +0000 2018,MartaBERMUDEZ19,@SenGillibrand Love the Planet? Love women? #VoteBlue #VoteDem #VoteSherrodBrown #VoteOhioBlue #BlueWaveâ€¦ https://t.co/T2m6UYz8ox,dem
Sat Nov 03 05:21:40 +0000 2018,ClaudiaDAquin,"@nationalhorizon What is this propaganda doing in my feed? Youâ€™ll be blocked later, but for the moment, I will useâ€¦ https://t.co/Vsrq3D1SpQ",dem
Sat Nov 03 04:09:16 +0000 2018,ODouglasPrice,"@nationalhorizon #BlueWave
#VoteGillibrand
#GetAProofreader",dem
Sat Nov 03 02:41:10 +0000 2018,_leosantos,@nationalhorizon You canâ€™t even spell PROMOTION on a billboard and youâ€™re questioning someone elseâ€™s accomplishments? #VoteGillibrand,dem
Fri Nov 02 20:45:32 +0000 2018,KsKM3,"RT @VanDeYolks: @nationalhorizon Solid ad targeting, folks. 

#VoteBlue 
#VoteDem 
#VoteGillibrand

https://t.co/YkJ9j4hiam",dem
Fri Nov 02 19:54:26 +0000 2018,MizCoretta,"@nationalhorizon Get a spell checker #VoteBlue 
#VoteGillibrand",dem
Fri Nov 02 19:04:43 +0000 2018,VanDeYolks,"@nationalhorizon Solid ad targeting, folks. 

#VoteBlue 
#VoteDem 
#VoteGillibrand

https://t.co/YkJ9j4hiam",dem
Fri Oct 26 05:33:07 +0000 2018,solusnan1,"RT @kenvitiello: @SenGillibrand @solusnan1 ðŸš¨New YorkersðŸš¨if you have pre existing conditions, want to keep your earned entitlements(Social Sâ€¦",dem
Fri Oct 26 05:31:09 +0000 2018,kenvitiello,"@SenGillibrand @solusnan1 ðŸš¨New YorkersðŸš¨if you have pre existing conditions, want to keep your earned entitlements(Sâ€¦ https://t.co/yy3mzFhVyg",dem
Sun Sep 23 01:35:46 +0000 2018,ctxhealthplans,#VoteGillibrand #SaveNewYork #SaveAmerica #VoteBlue2018 https://t.co/FfMMNwCZyA,dem
Mon Nov 05 21:58:28 +0000 2018,DrColumbia987,"VOTE FOR CHELE FARLEY 
SAVE NYS
Vote out Gillibrand who is linked to sex trafficking &amp; spying for Russia

MAKE NEWâ€¦ https://t.co/sqsp0927R2",rep
Mon Nov 05 21:57:03 +0000 2018,willisdayjr,"RT @TaraARae: Just met Sen. Gillibrand and Jess Fassler in Watertown, NY where she spoke highly of Tedra Cobb for Congress.  I see a High fâ€¦",dem
Mon Nov 05 21:55:58 +0000 2018,tim45Prez,"RT @olney_dan: @realDonaldTrump 
VOTE for @marcmolinaro to replace Cuomo.
VOTE for @CheleFarley to replace Gillibrand
NYS  TAXPAYERS deservâ€¦",rep
Mon Nov 05 21:49:59 +0000 2018,notcapnamerica,"RT @notcapnamerica: Kamala Harris (Calif.) and Kirsten Gillibrand (N.Y.) â€” would all beat Trump, too. 

Of these three women, Harris wouldâ€¦",dem
Mon Nov 05 21:46:49 +0000 2018,maesgochile,"PERO JOSHUA ES EL HIJO DE ERIN RUTNIK TSCHANTRET, HERMANA MENOR DE LA SENADORA DEMOCRATA KRISTEN GILLIBRANDâ€¦ https://t.co/K2uCZy5PHP",dem
Mon Nov 05 21:46:36 +0000 2018,fire_elder,@SenGillibrand Just a statement to continue the murder of unborn children how many more ladies will stand before aâ€¦ https://t.co/HypQIyan4x,rep
Mon Nov 05 21:37:34 +0000 2018,willthomas_usa,"@alon_levy As far as I understand it, Kirsten Gillibrand is better at seeing which way the wind is blowing than eitâ€¦ https://t.co/VfC8DstD1c",dem
Mon Nov 05 21:32:10 +0000 2018,Snapefan38,"@katalin_pota @PollyTickal And no doubt the Dumbocrats will do the same BS in 2020 to ensure their corrupt, corporaâ€¦ https://t.co/qcDTiYBAso",rep
Mon Nov 05 21:27:36 +0000 2018,iamthecoolest1,"@SenGillibrand -STUPID SEN. GILLIBRAND, U R SO PROUD OF DOING NOTHING FOR TWO YEARS!! DISGRACEFUL! U SHOULD BE ASHAâ€¦ https://t.co/yBbtBeGvtr",rep
Mon Nov 05 21:25:31 +0000 2018,Rlasagna27,RT @bernieandsid: Vote for her please-Please do NOT let Gillibrand win! https://t.co/2Hq9UxMGyp,rep
Mon Nov 05 21:17:54 +0000 2018,olney_dan,"@Mashbird315 @marcmolinaro Bless you. 
VOTE for @marcmolinaro to replace Cuomo
VOTE for @CheleFarley to replace Gillibrand",rep
Mon Nov 05 21:17:08 +0000 2018,Jim_Peoples_,"RT @michaeltrueman8: Hey Sen. Gillibrand, 
Your father must be guilty, no need a trial.
How did you not know 
The sins committed by your owâ€¦",rep
Mon Nov 05 21:11:24 +0000 2018,lazaccaro,"Gillibrand, is done pushing NY around. https://t.co/JngZBSbEjX",rep
Mon Nov 05 21:06:53 +0000 2018,RobertS71494497,@SenGillibrand And there you go again woman only gillibrand posting her sexist views for all to see,rep
Mon Nov 05 21:04:41 +0000 2018,Schmolioot,"@BaseyCrock As Virgil said, write in 2002 Synema lol. What the hell happened? Only hope is that sheâ€™s the new Gilliâ€¦ https://t.co/Ae6gFpd0Ye",ind
Mon Nov 05 21:01:12 +0000 2018,osPatriot,"@SenGillibrand ""Standing up for the most VULNERABLE AMERICANS""~Kirsten Gillibrand, REALLY, Kirsten??? Nothing moreâ€¦ https://t.co/uH6AsYzNjO",rep
Mon Nov 05 21:01:08 +0000 2018,JMizzle36,@nolesfan2011 Nah itâ€™s a reverse gillibrand. Itâ€™s called representing the people who will vote for you,rep
Mon Nov 05 21:00:13 +0000 2018,bolstadbrat,"Daily reminder that Sen. Gillibrand made millions as a partner of Boies Schiller &amp; Flexner, the democrat law firm tâ€¦ https://t.co/EWJjmjwqIA",rep
Mon Nov 05 20:56:34 +0000 2018,BaloneTone,@SenGillibrand So should we trust Gillibrand who lied about Kavanaugh!!!? Tried to RUIN A MANâ€™S LIFE!!!! Sicko! NOW THATâ€™S EXTREME!,rep
